,Age,Gender,Ethnicity,EducationLevel,BMI,Smoking,AlcoholConsumption,PhysicalActivity,DietQuality,SleepQuality,FamilyHistoryAlzheimers,CardiovascularDisease,Diabetes,Depression,HeadInjury,Hypertension,SystolicBP,DiastolicBP,CholesterolTotal,CholesterolLDL,CholesterolHDL,CholesterolTriglycerides,MMSE,FunctionalAssessment,MemoryComplaints,BehavioralProblems,ADL,Confusion,Disorientation,PersonalityChanges,DifficultyCompletingTasks,Forgetfulness,Diagnosis
FamilyHistoryAlzheimers,-0.01878398572769399,0.018420893301969173,0.022526151175088938,0.032748053100479825,0.006445508061393239,-0.04581080716498753,-0.003707292732340272,-0.014105973451041632,-0.011260908459046993,0.014801364363702475,1.0,0.02078308830251368,-0.02310603302091065,0.0007956884640614577,-0.019184049072001837,0.012920429517752536,0.006463384658793618,0.006059967127693769,0.007054485513640053,-0.011682279296331704,-0.013580937576114522,0.0010461910999012684,0.015574666836845507,-0.004650068428926303,-0.028347803207418042,-0.0235584552024697,0.01404142570885478,0.017975896770663156,0.03596272244340196,0.0068390067583300905,0.00878687485028826,0.022338746633336647,-0.03289974752274733
CardiovascularDisease,-0.01528439358634789,0.03457713570581173,0.002346638769808763,0.007527946227701943,-0.005466748717341565,0.027955139272676753,-0.023632199503964658,0.003975630125999665,-0.015219625396799642,0.0021115055599045546,0.02078308830251368,1.0,-0.010134375995638637,0.006042662925261773,0.0013415714387315192,-0.011760020022227095,0.013575435789445279,-0.04366183571275978,-0.007961295222544195,0.03860713247710385,-0.017681057516958053,-0.0012640986614260294,0.02535063082001626,-0.041270195405801936,0.03106100217692672,-0.016802857950516056,-0.012918216196968662,0.01765777400446748,0.025236923159800834,-0.032342507213817345,0.024683965832621373,0.010169940129395047,0.03149024640849238
Diabetes,-0.00570779508999404,-0.018299827160895094,-0.019588460454057304,0.0030587956415339622,-0.008979687305950189,-0.035810425859805595,7.252043182168044e-05,0.029879504235844026,0.009191941455964409,0.023986669643072788,-0.02310603302091065,-0.010134375995638637,1.0,0.0033097101400225517,-1.2525742142922301e-05,-0.0008975282791548913,-0.011518497557564608,0.003423424020525818,0.04876683097144767,0.014743718062126232,0.03853164991989017,-0.0449059878085971,-0.008905215493983822,0.043548441576230806,-0.017280088286547007,-0.027926714861164947,0.02223490250236085,-0.004793437539158655,-0.004493726218964731,0.0041840013529511255,-0.0014657602120706364,-0.0076440146692056165,-0.0315076041564909
Depression,-0.008752024735822107,0.018112930987732593,-0.005410989767239207,0.027572660252922383,-0.012506971187697908,-0.039362953792956686,0.00886739484538978,-0.013533091086599414,-0.0025158946301829864,-0.022995892206937468,0.0007956884640614577,0.006042662925261773,0.0033097101400225517,1.0,-0.007661797053126835,0.03206076472397228,-0.018863742569359663,-0.02302094928646844,-0.010086747363861557,-0.004795539470276187,-0.008256393467913858,0.04318563076290848,0.014020468431138517,0.019733268349414666,-0.019039190290674315,0.0013161306672381087,0.006195310558744558,0.0015934319414602925,0.005764221282078414,0.026043942850688968,-0.01714478058399669,0.017822446488998805,-0.005892907030010054
HeadInjury,-0.0403373393323831,0.004013192803696461,-0.009363959799060592,-0.00895093355733689,0.01628782595445891,-0.019178337725611064,-0.008301136173437059,0.02578014931682676,-0.008163014662319846,-0.004546393144071326,-0.019184049072001837,0.0013415714387315192,-1.2525742142922301e-05,-0.007661797053126835,1.0,-0.01637958375778219,8.105367113062598e-05,0.010430430999519066,-0.021733752460078092,0.026806328384386777,0.0006846416444545966,0.016844847598574762,0.006063236146772235,0.03465476217673443,-0.021328905965830473,0.04764929571194906,-0.01666884679628031,-0.031152047130002674,0.03305954189683301,-0.03141664891824186,0.010645531055471181,-1.9532577363135835e-05,-0.021411425744208398
Hypertension,0.0039535646724524936,-0.0026412276915817423,0.012848475167266525,-0.01694969468996422,0.004928478712898635,-0.02112444550055341,-0.0060099697169182925,0.02208080818816513,-0.04362754736610677,0.03866770612990951,0.012920429517752536,-0.011760020022227095,-0.0008975282791548913,0.03206076472397228,-0.01637958375778219,1.0,-0.0008428126118546026,-0.04342434587221483,-0.024492587243836607,0.0138918217916531,-0.0042048328152812725,-0.01150380841443518,0.012078796062040612,-0.028331911421030694,-0.02113020601332044,0.03169977959370146,-0.018601748595304876,-0.008634493600611194,0.03356749109437207,-0.011856552551336344,-0.0027800859741645284,0.029931049389626062,0.03508003438192649
SystolicBP,-0.0053244114799310144,0.011656985840053622,-0.027085831962057248,-0.016781853583301237,-0.019274792971325158,-0.024116062113718858,-0.03007011144765684,-0.004811294361500049,0.00603088527059284,-0.027886973782131484,0.006463384658793618,0.013575435789445279,-0.011518497557564608,-0.018863742569359663,8.105367113062598e-05,-0.0008428126118546026,1.0,0.0025898454087075183,0.018536870010430303,-0.0072953829101750686,0.0029469640009890286,-0.03482444077026181,-0.0035483319786235607,0.013161004081827908,-0.009516871203886593,-0.012786862443957414,0.015447232813962328,0.00840449654125659,0.03749964036697985,-0.012170146902387552,-0.0035977523072230773,-0.011356724412601788,-0.015615231331618039
DiastolicBP,-0.004461867618130596,-0.026059128730775545,0.01031002295372162,-0.002553097103323166,-0.0025236817890122464,-0.014111591420584713,-0.008909370837366296,-0.010554925146355637,0.009539388306427579,0.01079723562075617,0.006059967127693769,-0.04366183571275978,0.003423424020525818,-0.02302094928646844,0.010430430999519066,-0.04342434587221483,0.0025898454087075183,1.0,0.015249257671123567,-0.01554219807006015,0.008180442869847749,-0.007928213451802179,-0.028585990234308377,0.031484539719414985,-0.006126160395222681,0.016681850046074743,-0.004835912057959467,-0.01656730748346296,-0.015098357722410133,0.0015010273237804938,-0.026220459109564036,0.005857315420006538,0.0052926798025988995
CholesterolTotal,0.00039191335825303377,-0.00956775522420565,-0.0117572070092587,-0.04159791140703231,0.0010823138968188233,-0.010907471713295326,-0.033944440875368576,0.014334705136947349,-0.016790419605758947,0.0068794155682043185,0.007054485513640053,-0.007961295222544195,0.04876683097144767,-0.010086747363861557,-0.021733752460078092,-0.024492587243836607,0.018536870010430303,0.015249257671123567,1.0,0.010335685794038079,0.010116205934782452,-0.001959256284419611,-0.013638029765721326,-0.0053454594104813645,0.013821202113878911,-0.006505421649848864,0.0007754817733604585,0.03739044067560419,0.02531308327357053,-0.0174689842073185,-0.017936081270071853,-0.02532610985624098,0.00639446298384668
CholesterolLDL,0.0035878880985002774,0.01627144498543466,0.007907114221931634,0.050503673750811114,0.023684073949687502,-0.0073928627249534445,-0.01704233205234264,0.017788794403875725,-0.02369752162310436,0.006750975574533201,-0.011682279296331704,0.03860713247710385,0.014743718062126232,-0.004795539470276187,0.026806328384386777,0.0138918217916531,-0.0072953829101750686,-0.01554219807006015,0.010335685794038079,1.0,-0.037148129412442374,-0.005582057992223371,0.025382646980814452,-0.016214855175563387,-0.005737167675984051,-0.0029261246659766063,-0.01937975926259946,0.020628959691532476,0.027334695751482847,0.016120032051683643,-0.011551994262783626,-0.0005881425465522759,-0.03197582594293156
CholesterolHDL,0.006802863611082922,-0.005846198728444937,-0.021828079604873346,-0.00812529103148051,0.03860469916091654,-0.02556685506900308,-0.0019250445968104575,-0.001993015885279753,-0.008659141691885053,0.01545314994760347,-0.013580937576114522,-0.017681057516958053,0.03853164991989017,-0.008256393467913858,0.0006846416444545966,-0.0042048328152812725,0.0029469640009890286,0.008180442869847749,0.010116205934782452,-0.037148129412442374,1.0,0.015234649390749758,-0.0052184211639362205,-0.003449598570161639,0.030898427889685075,0.027170396061724167,0.0052523820516666726,-0.005253823968560843,0.021054229540610495,-0.01855309381564387,-0.056946778446518166,-0.016662107839943256,0.042584041328001386
CholesterolTriglycerides,-0.0030619937854480966,-0.0124267753867129,-0.007173437712651524,-0.02576330744879212,-0.018000598504786396,-0.021058150353882102,0.023362286146895863,0.027416040579506504,0.034733874682347794,0.024004193837721736,0.0010461910999012684,-0.0012640986614260294,-0.0449059878085971,0.04318563076290848,0.016844847598574762,-0.01150380841443518,-0.03482444077026181,-0.007928213451802179,-0.001959256284419611,-0.005582057992223371,0.015234649390749758,1.0,-0.007614640763685189,-0.009206851059024987,-0.014484095680981366,0.010310072044869362,0.02354585380505025,-0.013630943516331541,-0.013221902806563417,-0.01773335918354414,-0.04189897822126419,0.0035261047393676656,0.022671877013684238
MMSE,-0.004234771200121256,0.025329890311331562,-0.012503896664434466,0.02608992924664157,-0.0034767068601193425,0.0021388907930637705,-0.011423989598521101,-0.008342257095075214,0.0216364080598454,0.01250613530184643,0.015574666836845507,0.02535063082001626,-0.008905215493983822,0.014020468431138517,0.006063236146772235,0.012078796062040612,-0.0035483319786235607,-0.028585990234308377,-0.013638029765721326,0.025382646980814452,-0.0052184211639362205,-0.007614640763685189,1.0,0.02493215445597607,0.00765165145280744,0.025408172196720234,0.003358908466890464,0.0037627063055247567,0.0367150899676777,0.03449159489856076,0.0032937787329038516,0.011848284707492635,-0.2371256070735205
FunctionalAssessment,0.005507818902558747,0.03332432172461723,-0.00470378807226815,0.02026900161943213,-0.030500565926246913,-0.03187873623104468,-0.016482803631539634,-0.0024194984495427983,-0.009699872679285657,0.02958866260080411,-0.004650068428926303,-0.041270195405801936,0.043548441576230806,0.019733268349414666,0.03465476217673443,-0.028331911421030694,0.013161004081827908,0.031484539719414985,-0.0053454594104813645,-0.016214855175563387,-0.003449598570161639,-0.009206851059024987,0.02493215445597607,1.0,0.002320469910391885,-0.021940938896560618,0.053904258625624535,-0.023118272270128117,-0.007192643098325585,0.02426044189764813,0.019804903963268543,0.019387240126358337,-0.36489830657691513
MemoryComplaints,0.012343325585083248,0.003879879123415987,0.0036866401901921447,-0.00016518388371831725,0.0292928999820944,0.02033923649542662,-0.029418495321847857,0.008709341401174785,0.012537455703595947,-0.016806812160640044,-0.028347803207418042,0.03106100217692672,-0.017280088286547007,-0.019039190290674315,-0.021328905965830473,-0.02113020601332044,-0.009516871203886593,-0.006126160395222681,0.013821202113878911,-0.005737167675984051,0.030898427889685075,-0.014484095680981366,0.00765165145280744,0.002320469910391885,1.0,-0.009765303079089006,-0.037510562665414506,-0.007748993405344937,0.013441862611318543,-0.03009627801140953,0.04415126189042178,-0.006960980275817329,0.30674239370561934
BehavioralProblems,0.03897344552198197,0.006099420696923671,-0.019363000521973192,0.010472623748453513,0.03527588105277423,-0.014762620658280833,0.013656963004512142,-0.01425322143141797,-0.014032506301086732,-0.019899327289595023,-0.0235584552024697,-0.016802857950516056,-0.027926714861164947,0.0013161306672381087,0.04764929571194906,0.03169977959370146,-0.012786862443957414,0.016681850046074743,-0.006505421649848864,-0.0029261246659766063,0.027170396061724167,0.010310072044869362,0.025408172196720234,-0.021940938896560618,-0.009765303079089006,1.0,0.0433755775793664,-0.022676228361728102,-0.02215394274322239,-0.0028923562617665494,-0.01917438670308625,0.023374281082088815,0.22435040084778998
ADL,-0.038657555208668606,0.0038651258588455356,0.010474968765271262,0.03193434578483828,-0.009788457116494202,-0.029232601017613744,-0.008250355341974491,-0.013323550722680733,-0.007888480119055281,0.01453468571030375,0.01404142570885478,-0.012918216196968662,0.02223490250236085,0.006195310558744558,-0.01666884679628031,-0.018601748595304876,0.015447232813962328,-0.004835912057959467,0.0007754817733604585,-0.01937975926259946,0.0052523820516666726,0.02354585380505025,0.003358908466890464,0.053904258625624535,-0.037510562665414506,0.0433755775793664,1.0,0.01237328809571973,0.0022555925183163532,-0.01612783517465807,-0.025645636786790982,-0.00259457364075555,-0.33234591625477783
Confusion,0.009001969737011395,-0.03058325438699525,0.02243093408025774,-0.008167762239294527,-0.01585909614957977,0.004498161605034091,-0.03279816124249221,-0.009397329696061168,0.0026283029692712005,0.013508295449324092,0.017975896770663156,0.01765777400446748,-0.004793437539158655,0.0015934319414602925,-0.031152047130002674,-0.008634493600611194,0.00840449654125659,-0.01656730748346296,0.03739044067560419,0.020628959691532476,-0.005253823968560843,-0.013630943516331541,0.0037627063055247567,-0.023118272270128117,-0.007748993405344937,-0.022676228361728102,0.01237328809571973,1.0,0.007034482796619723,-0.0015733383607741663,-0.022002796194452008,0.01010005923022753,-0.01918571967575
Disorientation,0.027522985902951456,0.017506147422747573,-0.018131579915501524,-0.01756766003353075,-0.031840142898545504,-0.02840280127293289,0.015521374576489335,-0.020407449506840078,-0.026271271442435684,0.019466528800466044,0.03596272244340196,0.025236923159800834,-0.004493726218964731,0.005764221282078414,0.03305954189683301,0.03356749109437207,0.03749964036697985,-0.015098357722410133,0.02531308327357053,0.027334695751482847,0.021054229540610495,-0.013221902806563417,0.0367150899676777,-0.007192643098325585,0.013441862611318543,-0.02215394274322239,0.0022555925183163532,0.007034482796619723,1.0,-0.022311101946926173,-0.02076669971509849,-0.03201338437884781,-0.024648156933488655
PersonalityChanges,-0.009469633122223426,0.02591920754172938,-0.030034991214554635,-0.019950092859560686,-0.015900976327826572,-0.0099773929048804,0.01911683852474033,-0.013629408453667315,0.029086947356865653,-0.01689240305338289,0.0068390067583300905,-0.032342507213817345,0.0041840013529511255,0.026043942850688968,-0.03141664891824186,-0.011856552551336344,-0.012170146902387552,0.0015010273237804938,-0.0174689842073185,0.016120032051683643,-0.01855309381564387,-0.01773335918354414,0.03449159489856076,0.02426044189764813,-0.03009627801140953,-0.0028923562617665494,-0.01612783517465807,-0.0015733383607741663,-0.022311101946926173,1.0,0.037685771599383626,-0.013311424544700872,-0.020627462537192404
DifficultyCompletingTasks,0.01390041016334703,-0.0016358012819473787,0.019362617965243238,0.013032749626857926,-0.03939961904561917,0.0017410132063869184,-0.002712048905445025,0.03116908901528341,0.04573671660474048,0.011237088857220103,0.00878687485028826,0.024683965832621373,-0.0014657602120706364,-0.01714478058399669,0.010645531055471181,-0.0027800859741645284,-0.0035977523072230773,-0.026220459109564036,-0.017936081270071853,-0.011551994262783626,-0.056946778446518166,-0.04189897822126419,0.0032937787329038516,0.019804903963268543,0.04415126189042178,-0.01917438670308625,-0.025645636786790982,-0.022002796194452008,-0.02076669971509849,0.037685771599383626,1.0,-0.013386189010886689,0.009068581809868215
Forgetfulness,-0.019279351203730224,-0.02853665560666138,-0.03461871016165004,-0.008685107976809058,0.07113117355945427,0.01801121995206261,-0.024121131364977386,0.009836798627184142,0.00617526692870697,0.0029295249606487088,0.022338746633336647,0.010169940129395047,-0.0076440146692056165,0.017822446488998805,-1.9532577363135835e-05,0.029931049389626062,-0.011356724412601788,0.005857315420006538,-0.02532610985624098,-0.0005881425465522759,-0.016662107839943256,0.0035261047393676656,0.011848284707492635,0.019387240126358337,-0.006960980275817329,0.023374281082088815,-0.00259457364075555,0.01010005923022753,-0.03201338437884781,-0.013311424544700872,-0.013386189010886689,1.0,-0.00035428982556098756
Diagnosis,-0.005488377592358493,-0.02097471026094928,-0.01478229536935003,-0.04396584958332178,0.02634281302888019,-0.004865235195237045,-0.007617968445114058,0.0059450424530866205,0.00850577133339512,-0.056548086007109054,-0.03289974752274733,0.03149024640849238,-0.0315076041564909,-0.005892907030010054,-0.021411425744208398,0.03508003438192649,-0.015615231331618039,0.0052926798025988995,0.00639446298384668,-0.03197582594293156,0.042584041328001386,0.022671877013684238,-0.2371256070735205,-0.36489830657691513,0.30674239370561934,0.22435040084778998,-0.33234591625477783,-0.01918571967575,-0.024648156933488655,-0.020627462537192404,0.009068581809868215,-0.00035428982556098756,1.0
